Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,1,0,200000,6430,28897,35327,35327,Scheduled - Deadline Met,Yes,Yes,0.523963212966919,0.008732720216115316,2,35.0,Proven Optimal (Gap = 0%)
F1,P1_2,1,200000,400000,6430,210904,217334,17334,Scheduled - Deadline Met,Yes,Yes,0.523963212966919,0.008732720216115316,2,35.0,Proven Optimal (Gap = 0%)
F1,P1_3,8,400000,600000,6430,570390,576820,176820,Scheduled - Deadline Met,Yes,Yes,0.523963212966919,0.008732720216115316,2,35.0,Proven Optimal (Gap = 0%)
F1,P1_4,1,600000,800000,6430,623665,630095,30095,Scheduled - Deadline Met,Yes,Yes,0.523963212966919,0.008732720216115316,2,35.0,Proven Optimal (Gap = 0%)
F1,P1_5,1,800000,1000000,6430,854486,860916,60916,Scheduled - Deadline Met,Yes,Yes,0.523963212966919,0.008732720216115316,2,35.0,Proven Optimal (Gap = 0%)
F1,P1_6,8,1000000,1200000,6430,1119007,1125437,125437,Scheduled - Deadline Met,Yes,Yes,0.523963212966919,0.008732720216115316,2,35.0,Proven Optimal (Gap = 0%)
F10,P10_1,8,0,100000,6293,35423,41716,41716,Scheduled - Deadline Met,Yes,Yes,0.523963212966919,0.008732720216115316,2,35.0,Proven Optimal (Gap = 0%)
F10,P10_2,7,100000,200000,6293,103489,109782,9782,Scheduled - Deadline Met,Yes,Yes,0.523963212966919,0.008732720216115316,2,35.0,Proven Optimal (Gap = 0%)
F10,P10_3,7,200000,300000,6293,200000,206293,6293,Scheduled - Deadline Met,Yes,Yes,0.523963212966919,0.008732720216115316,2,35.0,Proven Optimal (Gap = 0%)
F10,P10_4,8,300000,400000,6293,382682,388975,88975,Scheduled - Deadline Met,Yes,Yes,0.523963212966919,0.008732720216115316,2,35.0,Proven Optimal (Gap = 0%)
F10,P10_5,7,400000,500000,6293,435380,441673,41673,Scheduled - Deadline Met,Yes,Yes,0.523963212966919,0.008732720216115316,2,35.0,Proven Optimal (Gap = 0%)
F10,P10_6,7,500000,600000,6293,550096,556389,56389,Scheduled - Deadline Met,Yes,Yes,0.523963212966919,0.008732720216115316,2,35.0,Proven Optimal (Gap = 0%)
F10,P10_7,8,600000,700000,6293,606347,612640,12640,Scheduled - Deadline Met,Yes,Yes,0.523963212966919,0.008732720216115316,2,35.0,Proven Optimal (Gap = 0%)
F10,P10_8,7,700000,800000,6293,753920,760213,60213,Scheduled - Deadline Met,Yes,Yes,0.523963212966919,0.008732720216115316,2,35.0,Proven Optimal (Gap = 0%)
F10,P10_9,7,800000,900000,6293,834549,840842,40842,Scheduled - Deadline Met,Yes,Yes,0.523963212966919,0.008732720216115316,2,35.0,Proven Optimal (Gap = 0%)
F10,P10_10,8,900000,1000000,6293,953920,960213,60213,Scheduled - Deadline Met,Yes,Yes,0.523963212966919,0.008732720216115316,2,35.0,Proven Optimal (Gap = 0%)
