Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,400000,400000,5149,1,3,0.01287129048184621,0.0128725,,4
F2,200000,200000,982,1,3,0.0049102812497283654,0.00491,,4
F3,400000,400000,600,1,3,0.0004984678406368959,0.0015,,6
F4,400000,400000,6062,1,3,0.015154788764085658,0.015155,,1
F5,200000,200000,4073,1,3,0.02036561778998197,0.020365,,6
F6,400000,400000,6132,1,3,0.015330986804446722,0.01533,,6
F7,400000,400000,600,1,3,0.00010804183531082368,0.0015,,4
F8,200000,200000,606,1,3,0.0030295421479399343,0.00303,,1
F9,400000,400000,1106,1,3,0.002765415021392492,0.002765,,6
F10,400000,400000,1654,1,3,0.004134698592495212,0.004135,,3
F11,400000,400000,3422,1,3,0.008555458923410197,0.008555,,1
F12,400000,400000,4003,1,3,0.010008268386858032,0.0100075,,4
F13,400000,400000,600,1,3,0.0009640663218343781,0.0015,,7
F14,400000,400000,952,1,3,0.002379711163808085,0.00238,,5
F15,400000,400000,2694,1,3,0.006734974877720623,0.006735,,1
F16,400000,400000,2085,1,3,0.005213034528979088,0.0052125,,5
F17,200000,200000,936,1,3,0.004680979899332138,0.00468,,6
F18,400000,400000,600,1,3,0.0004919754447604285,0.0015,,3
F19,400000,400000,1193,1,3,0.002982084989336109,0.0029825,,3
F20,200000,200000,607,1,3,0.003035871969334969,0.003035,,5
F21,100000,100000,2239,1,3,0.022388847300547132,0.02239,,6
F22,200000,200000,1294,1,3,0.006469444284045667,0.00647,,7
F23,400000,400000,6839,1,3,0.01709748403061473,0.0170975,,6
F24,400000,400000,600,1,3,0.0013815103489002722,0.0015,,5
F25,400000,400000,1136,1,3,0.0028405390051832735,0.00284,,4
F26,400000,400000,10167,1,3,0.025417456909237024,0.0254175,,6
F27,100000,100000,1125,1,3,0.011248953798796146,0.01125,,1
F28,400000,400000,3321,1,3,0.008302897113708546,0.0083025,,7
F29,400000,400000,600,1,3,0.00028867338199581316,0.0015,,2
F30,400000,400000,851,1,3,0.002126300807219317,0.0021275,,2
F31,400000,400000,4077,1,3,0.010193540267629336,0.0101925,,3
F32,400000,400000,5419,1,3,0.01354727984292911,0.0135475,,6
F33,100000,100000,704,1,3,0.007039752235656144,0.00704,,4
F34,400000,400000,3089,1,3,0.007723714366974388,0.0077225,,3
F35,400000,400000,2297,1,3,0.0057417803245087,0.0057425,,6
F36,400000,400000,1156,1,3,0.0028897163164763873,0.00289,,7
F37,400000,400000,2159,1,3,0.005398211836744743,0.0053975,,4
F38,400000,400000,2595,1,3,0.0064880214139083625,0.0064875,,3
F39,400000,400000,7621,1,3,0.019051974076828043,0.0190525,,6
F40,400000,400000,4129,1,3,0.010322181369404396,0.0103225,,6
F41,400000,400000,2041,1,3,0.005103720471257955,0.0051025,,1
F42,400000,400000,1597,1,3,0.0039927318948413115,0.0039925,,7
F43,400000,400000,3245,1,3,0.008112069528315488,0.0081125,,6
F44,200000,200000,4348,1,3,0.021738770976707525,0.02174,,6
F45,100000,100000,3074,1,3,0.030742141985352647,0.03074,,6
F46,400000,400000,9489,1,3,0.023723656443610186,0.0237225,,6
F47,50000,50000,760,1,3,0.015198912872731889,0.0152,,4
F48,400000,400000,687,1,3,0.001718627652903323,0.0017175,,1
