Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,400000,400000,600,1,3,0.00128457047932784,0.0015,,2
F2,100000,100000,4417,1,3,0.04416821487034306,0.04417,,6
F3,100000,100000,6407,1,3,0.06407037559090156,0.06407,,5
F4,400000,400000,5283,1,3,0.013207218492927053,0.0132075,,5
F5,100000,100000,7982,1,3,0.079816728580409,0.07982,,5
F6,400000,400000,919,1,3,0.002298403441427288,0.0022975,,1
F7,400000,400000,2471,1,3,0.006178149819868861,0.0061775,,7
F8,200000,200000,9580,1,3,0.047899446957516245,0.0479,,4
F9,200000,200000,7210,1,3,0.03604896143434422,0.03605,,4
F10,400000,400000,3899,1,3,0.009747710356887596,0.0097475,,3
F11,400000,400000,4049,1,3,0.010121484645709944,0.0101225,,2
F12,400000,400000,5350,1,3,0.01337494744783474,0.013375,,4
F13,400000,400000,8803,1,3,0.022006487133840458,0.0220075,,5
F14,200000,200000,860,1,3,0.004301214909896878,0.0043,,6
F15,200000,200000,3498,1,3,0.017489994270912912,0.01749,,7
F16,200000,200000,3673,1,3,0.018365280115798965,0.018365,,3
F17,100000,100000,1763,1,3,0.017629135092491865,0.01763,,5
F18,50000,50000,3083,1,3,0.06166169929960075,0.06166,,4
F19,400000,400000,9700,1,3,0.024249257856792328,0.02425,,6
F20,200000,200000,1759,1,3,0.008795561757380499,0.008795,,6
F21,400000,400000,7882,1,3,0.019705330014161748,0.019705,,2
F22,400000,400000,600,1,3,0.0012320810846698782,0.0015,,4
F23,400000,400000,1871,1,3,0.004677131493385334,0.0046775,,4
F24,400000,400000,7137,1,3,0.017843075762729255,0.0178425,,6
F25,400000,400000,1345,1,3,0.0033636019507962134,0.0033625,,2
F26,400000,400000,2775,1,3,0.006937698969211481,0.0069375,,5
F27,400000,400000,4491,1,3,0.011226626171474963,0.0112275,,1
F28,50000,50000,885,1,3,0.017700281845745014,0.0177,,4
F29,200000,200000,1130,1,3,0.005649754676002927,0.00565,,5
F30,400000,400000,7962,1,3,0.019905019211179265,0.019905,,7
F31,400000,400000,10159,1,3,0.025396436737384565,0.0253975,,2
F32,100000,100000,6645,1,3,0.06645400929215073,0.06645,,4
F33,400000,400000,4720,1,3,0.01180021185818858,0.0118,,7
F34,200000,200000,897,1,3,0.004483865596266179,0.004485,,3
F35,400000,400000,3207,1,3,0.008018347006078341,0.0080175,,4
F36,400000,400000,6820,1,3,0.01704942843157975,0.01705,,1
F37,400000,400000,5475,1,3,0.013688027244471879,0.0136875,,6
F38,400000,400000,10237,1,3,0.0255934058519508,0.0255925,,2
F39,200000,200000,3176,1,3,0.01587960646696024,0.01588,,3
F40,200000,200000,7239,1,3,0.03619659118246782,0.036195,,5
F41,400000,400000,6429,1,3,0.016071659715628683,0.0160725,,2
F42,200000,200000,4937,1,3,0.024685012496613035,0.024685,,3
F43,100000,100000,5886,1,3,0.05886088270330522,0.05886,,3
F44,200000,200000,9339,1,3,0.04669264990264943,0.046695,,5
F45,100000,100000,2084,1,3,0.02083983236548337,0.02084,,4
F46,50000,50000,4544,1,3,0.09088383537318298,0.09088,,4
F47,400000,400000,879,1,3,0.0021981665938106687,0.0021975,,1
F48,100000,100000,3682,1,3,0.03682230713195572,0.03682,,3
