Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,1,0,400000,5046,27915,32961,32961,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F1,P1_2,1,400000,800000,5046,422295,427341,27341,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F1,P1_3,8,800000,1200000,5046,1028489,1033535,233535,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F10,P10_1,3,0,400000,600,62351,62951,62951,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F10,P10_2,3,400000,800000,600,432081,432681,32681,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F10,P10_3,8,800000,1200000,600,1063730,1064330,264330,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F11,P11_1,4,0,400000,6305,21514,27819,27819,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F11,P11_2,4,400000,800000,6305,404409,410714,10714,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F11,P11_3,8,800000,1200000,6305,1022088,1028393,228393,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F12,P12_1,8,0,400000,2705,96210,98915,98915,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F12,P12_2,7,400000,800000,2705,480881,483586,83586,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F12,P12_3,7,800000,1200000,2705,883723,886428,86428,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F13,P13_1,7,0,200000,6175,130366,136541,136541,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F13,P13_2,7,200000,400000,6175,300904,307079,107079,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F13,P13_3,8,400000,600000,6175,578471,584646,184646,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F13,P13_4,7,600000,800000,6175,711986,718161,118161,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F13,P13_5,7,800000,1000000,6175,860765,866940,66940,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F13,P13_6,8,1000000,1200000,6175,1082460,1088635,88635,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F14,P14_1,4,0,400000,1497,63047,64544,64544,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F14,P14_2,8,400000,800000,1497,765910,767407,367407,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F14,P14_3,4,800000,1200000,1497,851507,853004,53004,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F15,P15_1,6,0,400000,3829,149720,153549,153549,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F15,P15_2,6,400000,800000,3829,460033,463862,63862,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F15,P15_3,8,800000,1200000,3829,1037562,1041391,241391,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F16,P16_1,1,0,400000,1881,142487,144368,144368,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F16,P16_2,8,400000,800000,1881,762322,764203,364203,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F16,P16_3,1,800000,1200000,1881,837452,839333,39333,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F17,P17_1,7,0,400000,646,182940,183586,183586,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F17,P17_2,8,400000,800000,646,768656,769302,369302,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F17,P17_3,7,800000,1200000,646,888831,889477,89477,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F18,P18_1,8,0,400000,2926,93188,96114,96114,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F18,P18_2,4,400000,800000,2926,416883,419809,19809,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F18,P18_3,4,800000,1200000,2926,834430,837356,37356,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F19,P19_1,8,0,400000,3234,73962,77196,77196,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F19,P19_2,1,400000,800000,3234,456703,459937,59937,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F19,P19_3,1,800000,1200000,3234,831100,834334,34334,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F2,P2_1,8,0,400000,600,105948,106548,106548,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F2,P2_2,6,400000,800000,600,464658,465258,65258,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F2,P2_3,6,800000,1200000,600,882193,882793,82793,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F20,P20_1,8,0,400000,604,105248,105852,105852,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F20,P20_2,1,400000,800000,604,463958,464562,64562,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F20,P20_3,1,800000,1200000,604,867036,867640,67640,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F21,P21_1,7,0,200000,2164,147460,149624,149624,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
F21,P21_2,8,200000,400000,2164,386471,388635,188635,Scheduled - Deadline Met,Yes,Yes,5.3629491329193115,0.08938248554865519,2,62.0,Proven Optimal (Gap = 0%)
