Queue,Flow,Packet_ID,Type,Arrival,Deadline,Exec,Start,Finish,Slack
1,F13,P13_1,M,0,200000,9747,803.0,10550.0,189450.0
1,F13,P13_2,M,200000,400000,9747,207191.0,216938.0,183062.0
1,F13,P13_3,O,400000,600000,9747,,,
1,F13,P13_4,M,600000,800000,9747,600803.0,610550.0,189450.0
1,F13,P13_5,M,800000,1000000,9747,807191.0,816938.0,183062.0
1,F13,P13_6,O,1000000,1200000,9747,,,
1,F6,P6_1,M,0,100000,803,0.0,803.0,99197.0
1,F6,P6_2,M,100000,200000,803,107191.0,107994.0,92006.0
1,F6,P6_3,O,200000,300000,803,,,
1,F6,P6_4,M,300000,400000,803,300000.0,300803.0,99197.0
1,F6,P6_5,M,400000,500000,803,407191.0,407994.0,92006.0
1,F6,P6_6,O,500000,600000,803,,,
1,F6,P6_7,M,600000,700000,803,600000.0,600803.0,99197.0
1,F6,P6_8,M,700000,800000,803,707191.0,707994.0,92006.0
1,F6,P6_9,O,800000,900000,803,,,
1,F6,P6_10,M,900000,1000000,803,900000.0,900803.0,99197.0
1,F6,P6_11,M,1000000,1100000,803,1007191.0,1007994.0,92006.0
1,F6,P6_12,O,1100000,1200000,803,,,
1,F8,P8_1,O,0,100000,7191,,,
1,F8,P8_2,M,100000,200000,7191,100000.0,107191.0,92809.0
1,F8,P8_3,M,200000,300000,7191,200000.0,207191.0,92809.0
1,F8,P8_4,O,300000,400000,7191,,,
1,F8,P8_5,M,400000,500000,7191,400000.0,407191.0,92809.0
1,F8,P8_6,M,500000,600000,7191,500000.0,507191.0,92809.0
1,F8,P8_7,O,600000,700000,7191,,,
1,F8,P8_8,M,700000,800000,7191,700000.0,707191.0,92809.0
1,F8,P8_9,M,800000,900000,7191,800000.0,807191.0,92809.0
1,F8,P8_10,O,900000,1000000,7191,,,
1,F8,P8_11,M,1000000,1100000,7191,1000000.0,1007191.0,92809.0
1,F8,P8_12,M,1100000,1200000,7191,1100000.0,1107191.0,92809.0
2,F12,P12_1,O,0,100000,1038,,,
2,F12,P12_2,M,100000,200000,1038,105514.0,106552.0,93448.0
