Queue,Flow,Packet_ID,Type,Arrival,Deadline,Exec,Start,Finish,Slack
1,F13,P13_1,O,0,100000,9103,,,
1,F13,P13_2,M,100000,200000,9103,100000.0,109103.0,90897.0
1,F13,P13_3,M,200000,300000,9103,200000.0,209103.0,90897.0
1,F13,P13_4,O,300000,400000,9103,,,
1,F13,P13_5,M,400000,500000,9103,400000.0,409103.0,90897.0
1,F13,P13_6,M,500000,600000,9103,500000.0,509103.0,90897.0
1,F13,P13_7,O,600000,700000,9103,,,
1,F13,P13_8,M,700000,800000,9103,700000.0,709103.0,90897.0
1,F13,P13_9,M,800000,900000,9103,800000.0,809103.0,90897.0
1,F13,P13_10,O,900000,1000000,9103,,,
1,F13,P13_11,M,1000000,1100000,9103,1000000.0,1009103.0,90897.0
1,F13,P13_12,M,1100000,1200000,9103,1100000.0,1109103.0,90897.0
1,F4,P4_1,M,0,100000,3925,0.0,3925.0,96075.0
1,F4,P4_2,O,100000,200000,3925,,,
1,F4,P4_3,M,200000,300000,3925,209103.0,213028.0,86972.0
1,F4,P4_4,M,300000,400000,3925,300000.0,303925.0,96075.0
1,F4,P4_5,O,400000,500000,3925,,,
1,F4,P4_6,M,500000,600000,3925,509103.0,513028.0,86972.0
1,F4,P4_7,M,600000,700000,3925,600000.0,603925.0,96075.0
1,F4,P4_8,O,700000,800000,3925,,,
1,F4,P4_9,M,800000,900000,3925,809103.0,813028.0,86972.0
1,F4,P4_10,M,900000,1000000,3925,900000.0,903925.0,96075.0
1,F4,P4_11,O,1000000,1100000,3925,,,
1,F4,P4_12,M,1100000,1200000,3925,1109103.0,1113028.0,86972.0
2,F3,P3_1,O,0,50000,5248,,,
2,F3,P3_2,M,50000,100000,5248,50000.0,55248.0,44752.0
2,F3,P3_3,M,100000,150000,5248,100000.0,105248.0,44752.0
2,F3,P3_4,O,150000,200000,5248,,,
2,F3,P3_5,M,200000,250000,5248,200000.0,205248.0,44752.0
2,F3,P3_6,M,250000,300000,5248,250000.0,255248.0,44752.0
2,F3,P3_7,O,300000,350000,5248,,,
2,F3,P3_8,M,350000,400000,5248,350000.0,355248.0,44752.0
2,F3,P3_9,M,400000,450000,5248,400000.0,405248.0,44752.0
2,F3,P3_10,O,450000,500000,5248,,,
2,F3,P3_11,M,500000,550000,5248,500000.0,505248.0,44752.0
2,F3,P3_12,M,550000,600000,5248,550000.0,555248.0,44752.0
2,F3,P3_13,O,600000,650000,5248,,,
2,F3,P3_14,M,650000,700000,5248,650000.0,655248.0,44752.0
2,F3,P3_15,M,700000,750000,5248,700000.0,705248.0,44752.0
2,F3,P3_16,O,750000,800000,5248,,,
2,F3,P3_17,M,800000,850000,5248,800000.0,805248.0,44752.0
2,F3,P3_18,M,850000,900000,5248,850000.0,855248.0,44752.0
2,F3,P3_19,O,900000,950000,5248,,,
2,F3,P3_20,M,950000,1000000,5248,950000.0,955248.0,44752.0
2,F3,P3_21,M,1000000,1050000,5248,1000000.0,1005248.0,44752.0
2,F3,P3_22,O,1050000,1100000,5248,,,
2,F3,P3_23,M,1100000,1150000,5248,1100000.0,1105248.0,44752.0
2,F3,P3_24,M,1150000,1200000,5248,1150000.0,1155248.0,44752.0
2,F6,P6_1,M,0,100000,8625,0.0,8625.0,91375.0
2,F6,P6_2,O,100000,200000,8625,,,
2,F6,P6_3,M,200000,300000,8625,205248.0,213873.0,86127.0
2,F6,P6_4,M,300000,400000,8625,300000.0,308625.0,91375.0
2,F6,P6_5,O,400000,500000,8625,,,
2,F6,P6_6,M,500000,600000,8625,505248.0,513873.0,86127.0
2,F6,P6_7,M,600000,700000,8625,600000.0,608625.0,91375.0
2,F6,P6_8,O,700000,800000,8625,,,
2,F6,P6_9,M,800000,900000,8625,805248.0,813873.0,86127.0
2,F6,P6_10,M,900000,1000000,8625,900000.0,908625.0,91375.0
2,F6,P6_11,O,1000000,1100000,8625,,,
2,F6,P6_12,M,1100000,1200000,8625,1105248.0,1113873.0,86127.0
3,F1,P1_1,O,0,50000,6465,,,
3,F1,P1_2,M,50000,100000,6465,57655.0,64120.0,35880.0
3,F1,P1_3,M,100000,150000,6465,100000.0,106465.0,43535.0
3,F1,P1_4,O,150000,200000,6465,,,
3,F1,P1_5,M,200000,250000,6465,207655.0,214120.0,35880.0
3,F1,P1_6,M,250000,300000,6465,250000.0,256465.0,43535.0
3,F1,P1_7,O,300000,350000,6465,,,
3,F1,P1_8,M,350000,400000,6465,357655.0,364120.0,35880.0
