Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,400000,400000,630,1,3,0.0015744991196235958,0.001575,,4
F2,400000,400000,4625,1,3,0.011562206963930732,0.0115625,,1
F3,400000,400000,5006,1,3,0.012515599546748801,0.012515,,2
F4,200000,200000,2683,1,3,0.01341549980817619,0.013415,,3
F5,50000,50000,1537,1,3,0.030740172170378277,0.03074,,6
F6,400000,400000,611,1,3,0.001528160044763971,0.0015275,,5
F7,400000,400000,9339,1,3,0.023348640461045234,0.0233475,,2
F8,400000,400000,11023,1,3,0.027556320826383873,0.0275575,,6
F9,400000,400000,1658,1,3,0.004144451611821642,0.004145,,3
F10,400000,400000,3299,1,3,0.008246421883564004,0.0082475,,4
F11,200000,200000,1689,1,3,0.008444827021280243,0.008445,,7
F12,400000,400000,1089,1,3,0.002722263356215282,0.0027225,,7
F13,400000,400000,4782,1,3,0.011956232124332333,0.011955,,5
F14,400000,400000,1675,1,3,0.004187575027855883,0.0041875,,1
F15,100000,100000,6357,1,3,0.06356822370246518,0.06357,,6
F16,400000,400000,2251,1,3,0.005627348478211114,0.0056275,,2
F17,200000,200000,1775,1,3,0.008873941789093398,0.008875,,3
F18,200000,200000,5892,1,3,0.029460550826802823,0.02946,,2
F19,200000,200000,8463,1,3,0.04231428299235221,0.042315,,3
F20,400000,400000,1640,1,3,0.00409961648428428,0.0041,,2
F21,400000,400000,767,1,3,0.001918736661441267,0.0019175,,5
F22,400000,400000,2720,1,3,0.006799177806337819,0.0068,,6
F23,400000,400000,11299,1,3,0.028247724764719845,0.0282475,,5
F24,400000,400000,600,1,3,0.0005460653834568063,0.0015,,6
F25,200000,200000,6418,1,3,0.0320887021941271,0.03209,,6
F26,400000,400000,10263,1,3,0.025657483934491063,0.0256575,,5
F27,200000,200000,6327,1,3,0.03163701262290164,0.031635,,2
F28,200000,200000,5637,1,3,0.028185115651017015,0.028185,,3
F29,400000,400000,680,1,3,0.0016995895575182829,0.0017,,6
F30,400000,400000,5213,1,3,0.01303301067766131,0.0130325,,6
F31,200000,200000,1012,1,3,0.005058998983733919,0.00506,,5
F32,100000,100000,1727,1,3,0.017271168251829817,0.01727,,3
