Queue,Flow,Packet_ID,Type,Arrival,Deadline,Exec
1,F10,P10_1,M,0,200000,1020
1,F10,P10_2,M,200000,400000,1020
1,F10,P10_3,O,400000,600000,1020
1,F10,P10_4,M,600000,800000,1020
1,F10,P10_5,M,800000,1000000,1020
1,F10,P10_6,O,1000000,1200000,1020
1,F18,P18_1,O,0,400000,6529
1,F18,P18_2,M,400000,800000,6529
1,F18,P18_3,M,800000,1200000,6529
1,F20,P20_1,O,0,400000,5069
1,F20,P20_2,M,400000,800000,5069
1,F20,P20_3,M,800000,1200000,5069
2,F17,P17_1,M,0,200000,3671
2,F17,P17_2,O,200000,400000,3671
2,F17,P17_3,M,400000,600000,3671
2,F17,P17_4,M,600000,800000,3671
2,F17,P17_5,O,800000,1000000,3671
2,F17,P17_6,M,1000000,1200000,3671
2,F21,P21_1,M,0,400000,1663
2,F21,P21_2,O,400000,800000,1663
2,F21,P21_3,M,800000,1200000,1663
2,F30,P30_1,O,0,400000,5849
2,F30,P30_2,M,400000,800000,5849
2,F30,P30_3,M,800000,1200000,5849
2,F31,P31_1,M,0,100000,3088
2,F31,P31_2,O,100000,200000,3088
2,F31,P31_3,M,200000,300000,3088
2,F31,P31_4,M,300000,400000,3088
2,F31,P31_5,O,400000,500000,3088
2,F31,P31_6,M,500000,600000,3088
2,F31,P31_7,M,600000,700000,3088
2,F31,P31_8,O,700000,800000,3088
2,F31,P31_9,M,800000,900000,3088
2,F31,P31_10,M,900000,1000000,3088
2,F31,P31_11,O,1000000,1100000,3088
2,F31,P31_12,M,1100000,1200000,3088
3,F1,P1_1,M,0,200000,7061
3,F1,P1_2,M,200000,400000,7061
3,F1,P1_3,O,400000,600000,7061
3,F1,P1_4,M,600000,800000,7061
3,F1,P1_5,M,800000,1000000,7061
3,F1,P1_6,O,1000000,1200000,7061
3,F13,P13_1,M,0,50000,6976
3,F13,P13_2,M,50000,100000,6976
3,F13,P13_3,O,100000,150000,6976
3,F13,P13_4,M,150000,200000,6976
3,F13,P13_5,M,200000,250000,6976
3,F13,P13_6,O,250000,300000,6976
3,F13,P13_7,M,300000,350000,6976
3,F13,P13_8,M,350000,400000,6976
3,F13,P13_9,O,400000,450000,6976
3,F13,P13_10,M,450000,500000,6976
3,F13,P13_11,M,500000,550000,6976
3,F13,P13_12,O,550000,600000,6976
3,F13,P13_13,M,600000,650000,6976
3,F13,P13_14,M,650000,700000,6976
3,F13,P13_15,O,700000,750000,6976
3,F13,P13_16,M,750000,800000,6976
3,F13,P13_17,M,800000,850000,6976
3,F13,P13_18,O,850000,900000,6976
3,F13,P13_19,M,900000,950000,6976
3,F13,P13_20,M,950000,1000000,6976
3,F13,P13_21,O,1000000,1050000,6976
3,F13,P13_22,M,1050000,1100000,6976
3,F13,P13_23,M,1100000,1150000,6976
3,F13,P13_24,O,1150000,1200000,6976
3,F14,P14_1,M,0,400000,600
3,F14,P14_2,O,400000,800000,600
3,F14,P14_3,M,800000,1200000,600
3,F16,P16_1,M,0,400000,5395
3,F16,P16_2,O,400000,800000,5395
3,F16,P16_3,M,800000,1200000,5395
3,F2,P2_1,O,0,400000,9984
3,F2,P2_2,M,400000,800000,9984
3,F2,P2_3,M,800000,1200000,9984
3,F29,P29_1,M,0,50000,6473
3,F29,P29_2,O,50000,100000,6473
3,F29,P29_3,M,100000,150000,6473
3,F29,P29_4,M,150000,200000,6473
3,F29,P29_5,O,200000,250000,6473
3,F29,P29_6,M,250000,300000,6473
3,F29,P29_7,M,300000,350000,6473
3,F29,P29_8,O,350000,400000,6473
3,F29,P29_9,M,400000,450000,6473
3,F29,P29_10,M,450000,500000,6473
3,F29,P29_11,O,500000,550000,6473
3,F29,P29_12,M,550000,600000,6473
3,F29,P29_13,M,600000,650000,6473
3,F29,P29_14,O,650000,700000,6473
3,F29,P29_15,M,700000,750000,6473
3,F29,P29_16,M,750000,800000,6473
3,F29,P29_17,O,800000,850000,6473
3,F29,P29_18,M,850000,900000,6473
3,F29,P29_19,M,900000,950000,6473
3,F29,P29_20,O,950000,1000000,6473
3,F29,P29_21,M,1000000,1050000,6473
3,F29,P29_22,M,1050000,1100000,6473
