Queue,Flow,Packet_ID,Type,Arrival,Deadline,Exec,Start,Finish,Slack
1,F17,P17_1,M,0,100000,1227,0.0,1227.0,98773.0
1,F17,P17_2,M,100000,200000,1227,100000.0,101227.0,98773.0
1,F17,P17_3,O,200000,300000,1227,,,
1,F17,P17_4,M,300000,400000,1227,300000.0,301227.0,98773.0
1,F17,P17_5,M,400000,500000,1227,400000.0,401227.0,98773.0
1,F17,P17_6,O,500000,600000,1227,,,
1,F17,P17_7,M,600000,700000,1227,600000.0,601227.0,98773.0
1,F17,P17_8,M,700000,800000,1227,700000.0,701227.0,98773.0
1,F17,P17_9,O,800000,900000,1227,,,
1,F17,P17_10,M,900000,1000000,1227,900000.0,901227.0,98773.0
1,F17,P17_11,M,1000000,1100000,1227,1000000.0,1001227.0,98773.0
1,F17,P17_12,O,1100000,1200000,1227,,,
1,F34,P34_1,M,0,400000,3065,11170.0,14235.0,385765.0
1,F34,P34_2,O,400000,800000,3065,,,
1,F34,P34_3,M,800000,1200000,3065,813636.0,816701.0,383299.0
1,F38,P38_1,O,0,400000,6029,,,
1,F38,P38_2,M,400000,800000,6029,418777.0,424806.0,375194.0
1,F38,P38_3,M,800000,1200000,6029,807607.0,813636.0,386364.0
1,F40,P40_1,M,0,400000,9943,1227.0,11170.0,388830.0
1,F40,P40_2,M,400000,800000,9943,401227.0,411170.0,388830.0
1,F40,P40_3,O,800000,1200000,9943,,,
1,F41,P41_1,M,0,400000,2110,14235.0,16345.0,383655.0
1,F41,P41_2,O,400000,800000,2110,,,
1,F41,P41_3,M,800000,1200000,2110,816701.0,818811.0,381189.0
1,F45,P45_1,O,0,400000,7607,,,
1,F45,P45_2,M,400000,800000,7607,411170.0,418777.0,381223.0
1,F45,P45_3,M,800000,1200000,7607,800000.0,807607.0,392393.0
2,F13,P13_1,M,0,400000,1994,1768.0,3762.0,396238.0
2,F13,P13_2,M,400000,800000,1994,400000.0,401994.0,398006.0
2,F13,P13_3,O,800000,1200000,1994,,,
2,F23,P23_1,O,0,400000,814,,,
2,F23,P23_2,M,400000,800000,814,401994.0,402808.0,397192.0
2,F23,P23_3,M,800000,1200000,814,801768.0,802582.0,397418.0
2,F43,P43_1,M,0,200000,1768,0.0,1768.0,198232.0
2,F43,P43_2,M,200000,400000,1768,200000.0,201768.0,198232.0
2,F43,P43_3,O,400000,600000,1768,,,
2,F43,P43_4,M,600000,800000,1768,600000.0,601768.0,198232.0
2,F43,P43_5,M,800000,1000000,1768,800000.0,801768.0,198232.0
2,F43,P43_6,O,1000000,1200000,1768,,,
3,F10,P10_1,M,0,200000,1913,0.0,1913.0,198087.0
3,F10,P10_2,O,200000,400000,1913,,,
3,F10,P10_3,M,400000,600000,1913,400000.0,401913.0,198087.0
3,F10,P10_4,M,600000,800000,1913,600000.0,601913.0,198087.0
3,F10,P10_5,O,800000,1000000,1913,,,
3,F10,P10_6,M,1000000,1200000,1913,1000000.0,1001913.0,198087.0
3,F18,P18_1,O,0,400000,10739,,,
3,F18,P18_2,M,400000,800000,10739,403183.0,413922.0,386078.0
3,F18,P18_3,M,800000,1200000,10739,801270.0,812009.0,387991.0
3,F21,P21_1,O,0,400000,10420,,,
3,F21,P21_2,M,400000,800000,10420,413922.0,424342.0,375658.0
3,F21,P21_3,M,800000,1200000,10420,812009.0,822429.0,377571.0
3,F3,P3_1,M,0,400000,8674,1913.0,10587.0,389413.0
3,F3,P3_2,M,400000,800000,8674,424342.0,433016.0,366984.0
3,F3,P3_3,O,800000,1200000,8674,,,
3,F33,P33_1,M,0,400000,838,22552.0,23390.0,376610.0
3,F33,P33_2,O,400000,800000,838,,,
3,F33,P33_3,M,800000,1200000,838,827722.0,828560.0,371440.0
3,F36,P36_1,O,0,200000,1270,,,
