Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,8,0,400000,3398,120611.0,124009.0,124009.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F1,P1_2,2,400000,800000,3398,582263.0,585661.0,185661.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F1,P1_3,2,800000,1200000,3398,1014542.0,1017940.0,217940.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F1,P1_4,8,1200000,1600000,3398,1328796.0,1332194.0,132194.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F1,P1_5,2,1600000,2000000,3398,1669833.0,1673231.0,73231.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F1,P1_6,2,2000000,2400000,3398,2043102.0,2046500.0,46500.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F10,P10_1,2,0,400000,10849,214231.0,225080.0,225080.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F10,P10_2,8,400000,800000,10849,491219.0,502068.0,102068.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F10,P10_3,2,800000,1200000,10849,1003597.0,1014446.0,214446.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F10,P10_4,2,1200000,1600000,10849,1367778.0,1378627.0,178627.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F10,P10_5,8,1600000,2000000,10849,,,,Optional Packets- Not Scheduled,No,N/A,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F10,P10_6,2,2000000,2400000,10849,2028827.0,2039676.0,39676.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_1,3,0,50000,3611,0.0,3611.0,3611.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_2,3,50000,100000,3611,55959.0,59570.0,9570.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_3,8,100000,150000,3611,,,,Optional Packets- Not Scheduled,No,N/A,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_4,3,150000,200000,3611,185184.0,188795.0,38795.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_5,3,200000,250000,3611,200000.0,203611.0,3611.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_6,8,250000,300000,3611,257856.0,261467.0,11467.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_7,3,300000,350000,3611,318777.0,322388.0,22388.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_8,3,350000,400000,3611,396293.0,399904.0,49904.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_9,8,400000,450000,3611,,,,Optional Packets- Not Scheduled,No,N/A,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_10,3,450000,500000,3611,464757.0,468368.0,18368.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_11,3,500000,550000,3611,528218.0,531829.0,31829.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_12,8,550000,600000,3611,550096.0,553707.0,3707.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_13,3,600000,650000,3611,600000.0,603611.0,3611.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_14,3,650000,700000,3611,677839.0,681450.0,31450.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_15,8,700000,750000,3611,735402.0,739013.0,39013.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_16,3,750000,800000,3611,792389.0,796000.0,46000.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_17,3,800000,850000,3611,800000.0,803611.0,3611.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_18,8,850000,900000,3611,,,,Optional Packets- Not Scheduled,No,N/A,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
F11,P11_19,3,900000,950000,3611,940665.0,944276.0,44276.0,Scheduled - Deadline Met,Yes,Yes,3600.3233036994934,60.005388394991556,9,167.0,Gurobi Status: 9
