Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,6,0,200000,11248,27404.0,38652.0,38652.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F1,P1_2,8,200000,400000,11248,308851.0,320099.0,120099.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F1,P1_3,6,400000,600000,11248,421859.0,433107.0,33107.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F1,P1_4,6,600000,800000,11248,600753.0,612001.0,12001.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F1,P1_5,8,800000,1000000,11248,,,,Optional Packets- Not Scheduled,No,N/A,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F1,P1_6,6,1000000,1200000,11248,1040301.0,1051549.0,51549.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F1,P1_7,6,1200000,1400000,11248,1218393.0,1229641.0,29641.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F1,P1_8,8,1400000,1600000,11248,1500096.0,1511344.0,111344.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F1,P1_9,6,1600000,1800000,11248,1644909.0,1656157.0,56157.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F1,P1_10,6,1800000,2000000,11248,1816508.0,1827756.0,27756.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F1,P1_11,8,2000000,2200000,11248,,,,Optional Packets- Not Scheduled,No,N/A,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F1,P1_12,6,2200000,2400000,11248,2214646.0,2225894.0,25894.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F10,P10_1,2,0,400000,3529,200000.0,203529.0,203529.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F10,P10_2,2,400000,800000,3529,489935.0,493464.0,93464.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F10,P10_3,8,800000,1200000,3529,941101.0,944630.0,144630.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F10,P10_4,2,1200000,1600000,3529,1398504.0,1402033.0,202033.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F10,P10_5,2,1600000,2000000,3529,1672287.0,1675816.0,75816.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F10,P10_6,8,2000000,2400000,3529,2140364.0,2143893.0,143893.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F11,P11_1,6,0,100000,641,26667.0,27308.0,27308.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F11,P11_2,6,100000,200000,641,174541.0,175182.0,75182.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F11,P11_3,8,200000,300000,641,228357.0,228998.0,28998.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F11,P11_4,6,300000,400000,641,369370.0,370011.0,70011.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F11,P11_5,6,400000,500000,641,418330.0,418971.0,18971.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
F11,P11_6,8,500000,600000,641,556317.0,556958.0,56958.0,Scheduled - Deadline Met,Yes,Yes,3600.2470560073853,60.00411760012309,9,12561.0,Gurobi Status: 9
