Queue,Flow,Packet_ID,Type,Arrival,Deadline,Exec,Start,Finish,Slack
1,F13,P13_1,M,0,400000,7478,9145.0,16623.0,383377.0
1,F13,P13_2,O,400000,800000,7478,,,
1,F13,P13_3,M,800000,1200000,7478,800000.0,807478.0,392522.0
1,F13,P13_4,M,1200000,1600000,7478,1209145.0,1216623.0,383377.0
1,F13,P13_5,O,1600000,2000000,7478,,,
1,F13,P13_6,M,2000000,2400000,7478,2000000.0,2007478.0,392522.0
1,F18,P18_1,O,0,400000,600,,,
1,F18,P18_2,M,400000,800000,600,417859.0,418459.0,381541.0
1,F18,P18_3,M,800000,1200000,600,818161.0,818761.0,381239.0
1,F18,P18_4,O,1200000,1600000,600,,,
1,F18,P18_5,M,1600000,2000000,600,1619828.0,1620428.0,379572.0
1,F18,P18_6,M,2000000,2400000,600,2016192.0,2016792.0,383208.0
1,F19,P19_1,M,0,400000,9145,0.0,9145.0,390855.0
1,F19,P19_2,M,400000,800000,9145,400000.0,409145.0,390855.0
1,F19,P19_3,O,800000,1200000,9145,,,
1,F19,P19_4,M,1200000,1600000,9145,1200000.0,1209145.0,390855.0
1,F19,P19_5,M,1600000,2000000,9145,1600000.0,1609145.0,390855.0
1,F19,P19_6,O,2000000,2400000,9145,,,
1,F27,P27_1,O,0,400000,1841,,,
1,F27,P27_2,M,400000,800000,1841,416018.0,417859.0,382141.0
1,F27,P27_3,O,800000,1200000,1841,,,
1,F27,P27_4,M,1200000,1600000,1841,1216623.0,1218464.0,381536.0
1,F27,P27_5,O,1600000,2000000,1841,,,
1,F27,P27_6,M,2000000,2400000,1841,2014351.0,2016192.0,383808.0
1,F36,P36_1,M,0,400000,3810,16623.0,20433.0,379567.0
1,F36,P36_2,O,400000,800000,3810,,,
1,F36,P36_3,M,800000,1200000,3810,814351.0,818161.0,381839.0
1,F36,P36_4,O,1200000,1600000,3810,,,
1,F36,P36_5,M,1600000,2000000,3810,1616018.0,1619828.0,380172.0
1,F36,P36_6,O,2000000,2400000,3810,,,
