Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,1,0,400000,3442,10024.0,13466.0,13466.0,Scheduled - Deadline Met,Yes,Yes,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F1,P1_2,8,400000,800000,3442,533790.0,537232.0,137232.0,Scheduled - Deadline Met,Yes,Yes,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F10,P10_1,7,0,400000,2873,327331.0,330204.0,330204.0,Scheduled - Deadline Met,Yes,Yes,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F10,P10_2,8,400000,800000,2873,537328.0,540201.0,140201.0,Scheduled - Deadline Met,Yes,Yes,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F11,P11_1,3,0,400000,600,67561.0,68161.0,68161.0,Scheduled - Deadline Met,Yes,Yes,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F11,P11_2,8,400000,800000,600,545419.0,546019.0,146019.0,Scheduled - Deadline Met,Yes,Yes,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F12,P12_1,4,0,200000,1140,27703.0,28843.0,28843.0,Scheduled - Deadline Met,Yes,Yes,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F12,P12_2,8,200000,400000,1140,344441.0,345581.0,145581.0,Scheduled - Deadline Met,Yes,Yes,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F12,P12_3,4,400000,600000,1140,422228.0,423368.0,23368.0,Scheduled - Deadline Met,Yes,Yes,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F12,P12_4,8,600000,800000,1140,744441.0,745581.0,145581.0,Scheduled - Deadline Met,Yes,Yes,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F13,P13_1,8,0,200000,8749,,,,Optional Packets- Not Scheduled,No,N/A,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F13,P13_2,6,200000,400000,8749,210943.0,219692.0,19692.0,Scheduled - Deadline Met,Yes,Yes,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F13,P13_3,8,400000,600000,8749,,,,Optional Packets- Not Scheduled,No,N/A,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F13,P13_4,6,600000,800000,8749,624522.0,633271.0,33271.0,Scheduled - Deadline Met,Yes,Yes,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F14,P14_1,4,0,400000,6959,48147.0,55106.0,55106.0,Scheduled - Deadline Met,Yes,Yes,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F14,P14_2,8,400000,800000,6959,,,,Optional Packets- Not Scheduled,No,N/A,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F15,P15_1,8,0,200000,2219,,,,Optional Packets- Not Scheduled,No,N/A,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
F15,P15_2,2,200000,400000,2219,255074.0,257293.0,57293.0,Scheduled - Deadline Met,Yes,Yes,22.634161472320557,0.37723602453867594,10,46.0,Gurobi Status: 10
