Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,200000,200000,2368,1,2,0.0118396288627407,0.01184,,2
F2,400000,400000,4922,1,2,0.0123045539156083,0.012305,,4
F3,400000,400000,11157,1,2,0.0278928628643442,0.0278925,,5
F4,100000,100000,5616,1,2,0.0561608396092498,0.05616,,4
F5,400000,400000,1511,1,2,0.003777591982744,0.0037775,,2
F6,200000,200000,9545,1,2,0.0477251745347458,0.047725,,2
F7,200000,200000,2113,1,2,0.0105661702219985,0.010565,,4
F8,200000,200000,2909,1,2,0.0145457175733251,0.014545,,5
F9,400000,400000,5577,1,2,0.013942138639436,0.0139425,,6
F10,200000,200000,7535,1,2,0.0376773782706407,0.037675,,7
F11,100000,100000,4409,1,2,0.0440914446870942,0.04409,,5
F12,100000,100000,894,1,2,0.0089395199210583,0.00894,,2
F13,400000,400000,10835,1,2,0.0270865148843687,0.0270875,,2
F14,400000,400000,900,1,2,0.0022488241775606,0.00225,,4
F15,400000,400000,1076,1,2,0.0026897793496415,0.00269,,7
F16,200000,200000,10372,1,2,0.0518594635430489,0.05186,,6
F17,400000,400000,10819,1,2,0.0270478143497954,0.0270475,,3
F18,100000,100000,7095,1,2,0.0709529418401391,0.07095,,6
F19,400000,400000,877,1,2,0.0021935635649856,0.0021925,,4
F20,100000,100000,3383,1,2,0.0338324974179697,0.03383,,4
F21,400000,400000,2202,1,2,0.0055047895730601,0.005505,,1
F22,400000,400000,2721,1,2,0.0068029454978062,0.0068025,,3
F23,100000,100000,11424,1,2,0.114239221954198,0.11424,,6
F24,100000,100000,1642,1,2,0.0164197064259556,0.01642,,1
F25,100000,100000,9701,1,2,0.0970078763050933,0.09701,,4
F26,400000,400000,4193,1,2,0.0104821358626495,0.0104825,,1
F27,400000,400000,1556,1,2,0.0038896049755148,0.00389,,1
F28,400000,400000,2350,1,2,0.0058739971106256,0.005875,,5
F29,400000,400000,1186,1,2,0.0029643110983038,0.002965,,3
F30,200000,200000,8854,1,2,0.0442713817371316,0.04427,,6
F31,400000,400000,2455,1,2,0.0061370209159006,0.0061375,,7
F32,100000,100000,1614,1,2,0.0161400608030877,0.01614,,7
F33,200000,200000,1996,1,2,0.0099793845297104,0.00998,,6
F34,400000,400000,600,1,2,0.000815458962493,0.0015,,5
F35,400000,400000,1214,1,2,0.0030340369286857,0.003035,,5
F36,400000,400000,2637,1,2,0.0065918255382191,0.0065925,,4
F37,400000,400000,600,1,2,0.0011196561815308,0.0015,,3
F38,200000,200000,7046,1,2,0.0352277953920476,0.03523,,1
F39,200000,200000,6167,1,2,0.0308325864886362,0.030835,,6
F40,400000,400000,716,1,2,0.0017888169212117,0.00179,,7
F41,200000,200000,2321,1,2,0.0116053256764788,0.011605,,5
F42,200000,200000,9164,1,2,0.0458207146348915,0.04582,,4
F43,400000,400000,1604,1,2,0.0040105800938321,0.00401,,6
F44,200000,200000,7785,1,2,0.0389264698589469,0.038925,,2
F45,100000,100000,6209,1,2,0.06209340282112,0.06209,,4
F46,400000,400000,2128,1,2,0.0053194831771562,0.00532,,6
F47,400000,400000,4075,1,2,0.0101884620257471,0.0101875,,7
F48,400000,400000,600,1,2,6.548841954204605e-05,0.0015,,2
